callsign,freq_mhz,city,state,class,erp_kw,lat,lon
KABN,0.96,Kenai,AK,B,1.0,60.56664,-151.13472
KAGV,1.11,Big Lake,AK,B,10.0,61.63364,-149.79556
KBBI,0.89,Homer,AK,A,10.0,59.66994,-151.44603
KBRW,0.68,Barrow,AK,A,10.0,71.25625,-156.52903
KBYR,0.7,Anchorage,AK,A,10.0,61.20639,-149.92444
KCAM,0.79,Glennallen,AK,B,5.0,62.11397,-145.53744
KCBF,0.82,Fairbanks,AK,A,10.0,64.80819,-147.49658
KCHU,0.77,Valdez,AK,A,9.7,61.11058,-146.26286
KDLG,0.67,Dillingham,AK,A,10.0,59.04453,-158.45414
KENI,0.65,Anchorage,AK,A,50.0,61.16556,-149.82831
KFAR,0.66,Fairbanks,AK,A,10.0,64.80819,-147.49658
KFBX,0.97,Fairbanks,AK,B,10.0,64.87958,-147.67714
KFQD,0.75,Anchorage,AK,A,50.0,61.33778,-150.03639
KGTL,0.62,Homer,AK,B,5.0,59.68356,-151.63297
KHAR,0.59,Anchorage,AK,B,5.0,61.11944,-149.89747
KIAM,0.63,Nenana,AK,B,10.0,64.47814,-149.0885
KICY,0.85,Nome,AK,A,50.0,64.48756,-165.31453
KIFW,1.23,Sitka,AK,B,1.0,57.05714,-135.33567
KINY,0.8,Juneau,AK,B,10.0,58.30106,-134.44233
KJNO,0.63,Juneau,AK,B,5.0,58.32939,-134.47317
KJNP,1.17,North Pole,AK,A,50.0,64.75903,-147.32631
KLAM,1.45,Cordova,AK,B,0.25,60.53836,-145.76169
KNOM,0.78,Nome,AK,A,25.0,64.48703,-165.30206
KNSA,0.93,Unalakleet,AK,B,4.2,63.88706,-160.69358
KOAN,1.08,Anchorage,AK,A,10.0,61.11944,-149.89747
KOTZ,0.72,Kotzebue,AK,A,10.0,66.83878,-162.57086
KPEN,0.84,Kenai,AK,B,5.0,60.50997,-151.27222
KSDP,0.83,Sand Point,AK,B,1.0,55.34944,-160.47256
KSLD,1.14,Soldotna,AK,B,10.0,60.52331,-151.05861
KSRM,0.92,Soldotna,AK,B,5.0,60.51303,-151.19083
KTKN,0.93,Ketchikan,AK,B,5.0,55.33911,-131.63864
KTZN,0.55,Anchorage,AK,B,5.0,61.16556,-149.82831
KVAK,1.23,Valdez,AK,B,1.0,61.12058,-146.25897
KVHZ,1.43,Wasilla,AK,B,1.0,61.61781,-149.28833
KVNT,1.02,Eagle River,AK,A,10.0,61.48472,-149.76611
KXXJ,1.33,Juneau,AK,B,10.0,58.30106,-134.44233
KYUK,0.64,Bethel,AK,A,10.0,60.78242,-161.88572
KZPA,0.9,Fort Yukon,AK,B,5.0,66.55633,-145.20372
WAAX,0.57,Gadsden,AL,B,5.0,33.97928,-86.00247
WABF,1.48,Mobile,AL,B,5.0,30.71992,-88.07111
WACQ,0.58,Tuskegee,AL,D,0.5,32.37681,-85.65772
WACT,1.42,Tuscaloosa,AL,D,5.0,33.17511,-87.555
WAFN,1.31,Somerville,AL,D,1.0,34.54036,-86.90417
WAGG,0.61,Birmingham,AL,B,5.0,33.49428,-86.8725
WALQ,1.13,Carrville,AL,D,25.0,32.45486,-85.93247
WANI,1.4,Opelika,AL,C,1.0,32.65736,-85.42411
WAPC,0.88,Clanton,AL,D,1.0,32.87528,-86.62489
WAPI,1.07,Birmingham,AL,B,50.0,33.55206,-86.91111
WARB,0.7,Dothan,AL,D,1.6,31.43878,-85.28939
WASG,0.54,Daphne,AL,D,2.5,30.74603,-88.09417
WATV,0.9,Birmingham,AL,D,0.845,33.5365,-86.88417
WAUD,1.23,Auburn,AL,C,1.0,32.62792,-85.46022
WAVU,0.63,Albertville,AL,D,1.0,34.23869,-86.16636
WAYE,1.22,Birmingham,AL,D,1.0,33.47706,-86.88333
WBHP,0.8,Decatur,AL,D,1.0,34.59869,-87.00667
WBHY,0.84,Mobile,AL,D,10.0,30.76408,-88.11
WBIB,1.11,Centreville,AL,D,1.0,32.96706,-87.15028
WBSA,1.3,Boaz,AL,D,1.0,34.21397,-86.15275
WBTG,1.29,Sheffield,AL,D,1.0,34.77425,-87.67058
WBXR,1.14,Hazel Green,AL,D,15.0,34.95314,-86.645
WCKA,0.81,Jacksonville,AL,B,50.0,33.84956,-85.76275
WCRL,1.57,Oneonta,AL,D,2.5,33.95456,-86.47219
WDIG,1.45,Dothan,AL,C,1.0,31.21961,-85.3705
WDJL,1.0,Huntsville,AL,D,1.1,34.77981,-86.65444
WDNG,1.45,Anniston,AL,C,1.0,33.66428,-85.84942
WDSA,1.32,Dothan,AL,D,1.0,31.2485,-85.38883
WEBJ,1.24,Brewton,AL,C,1.0,31.10989,-87.05997
WEIS,0.99,Centre,AL,D,1.0,34.15008,-85.68525
WENN,1.32,Birmingham,AL,D,5.0,33.5615,-86.86028
WERC,0.96,Birmingham,AL,B,5.0,33.534,-86.85194
WERM,1.22,Fairhope,AL,D,1.0,30.51103,-87.90361
WEUP,1.7,Huntsville,AL,B,10.0,34.75897,-86.64306
WEUV,1.19,Moulton,AL,D,2.5,34.48203,-87.30114
WFEB,1.34,Sylacauga,AL,C,1.0,33.17122,-86.23247
WFHK,1.43,Pell City,AL,D,5.0,33.58622,-86.32636
WFXO,1.05,Alexander City,AL,D,1.0,32.95094,-85.98525
WFZX,1.49,Anniston,AL,C,1.0,33.68761,-85.83025
WGAD,0.93,Rainbow City,AL,B,5.0,33.98567,-86.03747
WGMP,1.17,Montgomery,AL,D,0.85,32.45486,-86.29053
WGOK,0.9,Mobile,AL,B,1.0,30.70881,-88.06472
WGOL,0.92,Russellville,AL,D,1.0,34.51397,-87.71531
WGSV,1.27,Guntersville,AL,D,1.0,34.30869,-86.29553
WGYV,1.38,Greenville,AL,D,1.0,31.83375,-86.60192
WHBB,1.49,Selma,AL,C,1.0,32.43403,-87.01111
WHEP,1.31,Foley,AL,D,2.5,30.44408,-87.68108
WHIY,1.6,Huntsville,AL,B,5.0,34.75897,-86.64306
WHMA,1.39,Anniston,AL,B,5.0,33.70872,-85.85386
WHOG,1.12,Hobson City,AL,D,0.5,33.614,-85.85525
WHTY,1.46,Phenix City/Columbus,AL,B,4.0,32.43292,-84.9505
WIEZ,1.49,Decatur,AL,C,1.0,34.58731,-86.98694
WIJD,1.27,Prichard,AL,D,5.0,30.74603,-88.09417
WIXI,1.36,Jasper,AL,D,12.0,33.82011,-87.27389
WJAM,1.34,Selma,AL,C,1.0,32.42542,-86.99639
WJLD,1.4,Fairfield,AL,C,1.0,33.47678,-86.88361
WJLX,1.24,Jasper,AL,C,1.0,33.81511,-87.27194
WJNZ,1.0,Robertsdale,AL,D,1.0,30.53714,-87.705
WJOX,0.69,Birmingham,AL,B,50.0,33.45067,-86.92194
WJRD,1.15,Tuscaloosa,AL,B,20.0,33.24956,-87.60861
WJTW,1.48,Bridgeport,AL,D,1.0,34.94286,-85.70719
WJUS,1.31,Marion,AL,D,5.0,32.63597,-87.30222
WKAC,1.08,Athens,AL,D,5.0,34.83703,-86.97444
WKAX,1.5,Russellville,AL,D,1.0,34.52842,-87.71142
WKLF,1.0,Clanton,AL,D,1.0,32.83208,-86.69331
WKWL,1.23,Florala,AL,C,1.0,31.00572,-86.33133
WLAY,1.45,Muscle Shoals,AL,C,1.0,34.67731,-87.72086
WLDX,0.99,Fayette,AL,D,1.0,33.68511,-87.82114
WLOR,1.55,Huntsville,AL,D,50.0,34.85258,-86.65278
WLPR,0.96,Prichard,AL,D,6.0,30.76408,-88.11
WLVS,1.34,Florence,AL,C,1.0,34.79731,-87.66503
WLWE,1.36,Roanoke,AL,D,1.0,33.184,-85.40578
WMGJ,1.24,Gadsden,AL,C,1.0,34.00122,-86.02997
WMGY,0.8,Montgomery,AL,D,1.0,32.41361,-86.29028
WMHZ,1.34,Holt,AL,C,1.0,33.21456,-87.48944
WMMA,1.48,Irondale,AL,D,5.0,33.54844,-86.66556
WMSP,0.74,Montgomery,AL,B,10.0,32.42181,-86.16414
WMXB,1.28,Tuscaloosa,AL,B,5.0,33.21872,-87.56806
WNGL,1.41,Mobile,AL,B,5.0,30.70686,-88.06194
WNTM,0.71,Mobile,AL,B,1.0,30.72047,-88.05944
WNWF,1.47,Evergreen,AL,D,1.0,31.44156,-86.93553
WOOF,0.56,Dothan,AL,D,5.0,31.21822,-85.35272
WOPP,1.29,Opp,AL,B,2.5,31.291,-86.23078
WOZK,0.9,Ozark,AL,D,1.0,31.45544,-85.68272
WQCR,1.5,Alabaster,AL,D,2.3,33.20761,-86.75944
WRAB,1.38,Arab,AL,D,1.0,34.33508,-86.46861
WRBZ,1.25,Wetumpka,AL,D,2.0,32.41361,-86.29028
WRMG,1.43,Red Bay,AL,D,1.0,34.41428,-88.13642
WTAZ,1.58,Oxford,AL,D,2.5,33.59153,-85.82883
WTBC,1.23,Tuscaloosa,AL,C,1.0,33.21928,-87.50861
WTBF,0.97,Troy,AL,D,5.0,31.83489,-85.93328
WTDR,1.35,Gadsden,AL,B,5.0,34.01758,-86.08747
WTKI,1.45,Huntsville,AL,C,1.0,34.72508,-86.60417
WTLM,1.52,Opelika,AL,D,1.0,32.65736,-85.42411
WTLS,1.3,Tallassee,AL,D,1.2,32.51097,-85.89247
WTOF,1.11,Bay Minette,AL,D,10.0,30.86964,-87.76917
WTSK,0.79,Tuscaloosa,AL,D,5.0,33.18817,-87.58972
WTXK,1.21,Pike Road,AL,D,10.0,32.29264,-86.21719
WUMP,0.73,Madison,AL,D,1.0,34.69619,-86.73861
WURL,0.76,Moody,AL,D,1.0,33.58706,-86.47164
WVNA,1.59,Tuscumbia,AL,D,1.0,34.67731,-87.72086
WVNN,0.77,Athens,AL,D,7.0,34.75064,-86.79944
WVSA,1.38,Vernon,AL,D,5.0,33.79594,-88.11753
WVSM,1.5,Rainsville,AL,D,1.0,34.49897,-85.84275
WWGC,1.09,Albertville,AL,D,0.5,34.26453,-86.27886
WWIC,1.05,Scottsboro,AL,D,1.0,34.67314,-86.05303
WWTM,1.39,Mooresville,AL,D,0.35,34.67244,-86.81406
WXJC,0.85,Birmingham,AL,B,50.0,33.62372,-86.74583
WXKD,0.92,Brantley,AL,D,0.45,31.70739,-86.21994
WXQW,0.66,Fairhope,AL,D,10.0,30.59742,-87.88278
WXVI,1.6,Montgomery,AL,B,5.0,32.39458,-86.28914
WYAM,0.89,Hartselle,AL,D,2.5,34.56675,-86.91278
WYDE,1.26,Birmingham,AL,D,5.0,33.52483,-86.78611
WYEA,1.29,Sylacauga,AL,D,1.0,33.19556,-86.23389
WZGX,1.45,Bessemer,AL,C,1.0,33.42317,-86.95472
WZKD,0.95,Montgomery,AL,D,1.0,32.42153,-86.16442
WZMG,0.91,Pepperell,AL,D,0.65,32.65736,-85.42411
WZOB,1.25,Fort Payne,AL,D,5.0,34.43981,-85.75331
WZZA,1.41,Tuscumbia,AL,D,0.5,34.70814,-87.69308
KAAB,1.13,Batesville,AR,D,1.0,35.74453,-91.63931
KAAY,1.09,Little Rock,AR,B,50.0,34.60039,-92.22411
KAFN,0.69,Benton,AR,D,0.25,34.53258,-92.57128
KAGE,1.58,Van Buren,AR,D,1.0,35.39175,-94.33189
KAGH,0.8,Crossett,AR,D,0.24,33.13483,-91.94708
KARN,0.92,Little Rock,AR,B,5.0,34.77231,-92.24597
KARV,0.61,Russellville,AR,B,1.0,35.29897,-93.15267
KASZ,1.19,White Hall,AR,B,25.0,34.28369,-92.12764
KAWW,1.37,Heber Springs,AR,D,1.0,35.48619,-92.03486
KBHS,1.42,Hot Springs,AR,D,5.0,34.45536,-93.05739
KBJT,1.59,Fordyce,AR,D,4.7,33.80289,-92.43625
KBTA,1.34,Batesville,AR,C,1.0,35.74425,-91.63931
KBTM,1.23,Jonesboro,AR,C,1.0,35.84144,-90.66244
KCAB,0.98,Dardanelle,AR,D,5.0,35.22231,-93.16906
KCAT,1.34,Pine Bluff,AR,C,1.0,34.21317,-92.03153
KCCB,1.26,Corning,AR,D,1.0,36.40006,-90.58483
KDMS,1.29,El Dorado,AR,D,0.5,33.23736,-92.66517
KDQN,1.39,De Queen,AR,D,0.5,34.03261,-94.32881
KDRS,1.49,Paragould,AR,C,1.0,36.05033,-90.46233
KELD,1.4,El Dorado,AR,C,1.0,33.23736,-92.66517
KFAY,1.03,Farmington,AR,B,6.0,36.10953,-94.18381
KFFA,1.36,Helena,AR,D,1.0,34.52761,-90.63011
KFFK,1.39,Decatur,AR,D,0.8,36.4115,-94.45081
KFOG,1.25,Little Rock,AR,B,2.0,34.70147,-92.21736
KFPW,1.23,Fort Smith,AR,C,1.0,35.39175,-94.33189
KFSW,1.65,Ft. Smith,AR,B,10.0,35.27481,-94.45994
KGFL,1.11,Clinton,AR,D,5.0,35.55842,-92.45906
KGMR,1.36,Clarksville,AR,D,0.5,35.47258,-93.49131
KHGZ,0.67,Glenwood,AR,D,5.0,34.32567,-93.55769
KHOZ,0.9,Harrison,AR,D,1.0,36.24314,-93.11211
KISR,0.95,Fort Smith,AR,B,1.0,35.43286,-94.4705
KJBN,1.05,Little Rock,AR,D,1.0,34.76619,-92.29403
KLRG,0.88,Sheridan,AR,B,50.0,34.69342,-92.30597
KLTK,1.14,Centerton,AR,D,5.0,36.36397,-94.34828
KLYR,1.54,Ozark,AR,D,0.5,35.48786,-93.81214
KMTL,0.76,Sherwood,AR,D,10.0,34.82619,-92.20542
KNBY,1.28,Newport,AR,D,1.0,35.61064,-91.25069
KNEA,0.97,Jonesboro,AR,D,1.0,35.85481,-90.72928
KNHD,1.45,Camden,AR,C,1.0,33.56372,-92.84378
KNWA,1.6,Bellefonte,AR,D,1.0,36.24703,-93.08517
KOSE,0.86,Wilson,AR,D,1.0,35.68425,-89.98258
KPBI,1.25,Fayetteville,AR,D,0.92,36.04064,-94.27575
KPOC,1.42,Pocahontas,AR,D,1.0,36.27728,-90.95456
KQIS,1.34,Bethel Heights,AR,C,1.0,36.21203,-94.12742
KQPN,0.73,West Memphis,AR,B,1.0,35.24619,-90.14703
KREB,1.19,Gentry,AR,D,3.0,36.4115,-94.45081
KRLW,1.32,Walnut Ridge,AR,D,1.0,36.06619,-90.94011
KTCS,1.41,Fort Smith,AR,D,1.0,35.27786,-94.37661
KTHS,1.48,Green Forest,AR,D,5.0,36.36175,-93.56131
KTLO,1.24,Mountain Home,AR,C,0.83,36.35644,-92.35933
KTUV,1.44,Little Rock,AR,B,5.0,34.71286,-92.28014
KUOA,1.29,Siloam Springs,AR,D,5.0,36.19119,-94.56633
KURM,0.79,Rogers,AR,B,5.0,36.30286,-94.11325
KVDW,1.53,England,AR,D,2.5,34.54592,-91.98458
KVMA,0.63,Magnolia,AR,D,1.0,33.29986,-93.23267
KVOM,0.8,Morrilton,AR,D,0.25,35.15786,-92.76794
KVRC,1.24,Arkadelphia,AR,C,1.0,34.11092,-93.05044
KWAK,1.24,Stuttgart,AR,C,0.96,34.48567,-91.55986
KWHN,1.32,Fort Smith,AR,B,5.0,35.41703,-94.36522
KWXT,1.49,Dardanelle,AR,C,1.0,35.21897,-93.12739
KWYN,1.4,Wynne,AR,C,1.0,35.25619,-90.79678
KXJK,0.95,Forrest City,AR,D,5.0,34.98147,-90.85761
KYNG,1.59,Springdale,AR,D,2.5,36.207,-94.11944
KZNG,1.34,Hot Springs,AR,C,1.0,34.49536,-93.02433
KZTS,1.38,North Little Rock,AR,B,5.0,34.88036,-92.23375
KZYP,1.31,Malvern,AR,D,1.0,34.37369,-92.83017
WGUE,1.18,Turrell,AR,D,5.0,35.14203,-90.13508
KAAA,1.23,Kingman,AZ,C,1.0,35.16361,-114.07078
KAFF,0.93,Flagstaff,AZ,D,5.0,35.19056,-111.67767
KAJM,1.58,Tempe,AZ,B,24.0,33.38922,-111.99875
KAPR,0.93,Douglas,AZ,D,2.5,31.369,-109.52978
KATO,1.23,Safford,AZ,C,1.0,32.8295,-109.75508
KAZG,1.44,Scottsdale,AZ,D,5.0,33.47867,-111.94069
KAZM,0.78,Sedona,AZ,D,5.0,34.86056,-111.82056
KBLU,0.56,Yuma,AZ,B,1.0,32.72339,-114.64356
KBSZ,1.26,Apache Junction,AZ,D,4.5,33.38228,-111.53653
KCEE,0.69,Tucson,AZ,D,0.25,32.25314,-110.96286
KCUB,1.29,Tucson,AZ,B,1.0,32.27703,-110.98119
KCUZ,1.49,Clifton,AZ,C,1.0,33.04172,-109.29508
KCYK,1.4,Yuma,AZ,C,1.0,32.65172,-114.65106
KDJI,1.27,Holbrook,AZ,D,5.0,34.90586,-110.19094
KDRI,0.83,Tucson,AZ,B,50.0,32.44425,-111.0915
KDUS,1.06,Tempe,AZ,B,5.0,33.362,-111.96819
KFFN,1.49,Tucson,AZ,C,1.0,32.24897,-110.92536
KFLG,1.0,Bullhead City,AZ,D,1.0,35.16944,-114.63469
KFNN,1.51,Mesa,AZ,D,22.0,33.69281,-112.00319
KFNX,1.1,Cave Creek,AZ,B,50.0,33.79781,-111.99236
KFYI,0.55,Phoenix,AZ,B,5.0,33.38811,-112.00681
KGME,0.91,Phoenix,AZ,B,5.0,33.53336,-112.12236
KGMS,0.94,Tucson,AZ,B,1.0,32.20092,-111.01869
KGVY,1.08,Green Valley,AZ,D,1.0,31.92925,-110.99703
KHIL,1.25,Willcox,AZ,D,5.0,32.26675,-109.83339
KIDR,0.74,Phoenix,AZ,B,1.0,33.36533,-112.10903
KIHP,1.31,Mesa,AZ,B,3.4,33.362,-111.96819
KIKO,1.34,Apache Junction,AZ,C,1.0,33.38228,-111.53653
KJAA,1.24,Globe,AZ,C,1.0,33.38089,-110.75761
KKNT,0.96,Phoenix,AZ,B,5.0,33.69281,-112.00319
KMOG,1.42,Payson,AZ,D,3.0,34.26669,-111.31569
KNAI,0.86,Phoenix,AZ,B,0.94,33.42061,-112.12764
KNOT,1.45,Prescott,AZ,C,1.0,34.54503,-112.44683
KNST,0.79,Tucson,AZ,B,5.0,32.24842,-111.00897
KNTR,0.98,Lake Havasu City,AZ,D,1.0,34.50333,-114.35856
KNUV,1.19,Tolleson,AZ,D,0.64,33.49358,-112.13922
KNXN,1.47,Sierra Vista,AZ,D,2.5,31.54869,-110.24508
KOFA,1.32,Yuma,AZ,D,0.73,32.68975,-114.50092
KOY,1.23,Phoenix,AZ,C,1.0,33.43617,-112.11014
KPGE,1.34,Page,AZ,C,1.0,36.90556,-111.45794
KPHX,1.48,Phoenix,AZ,D,1.0,33.38922,-111.99875
KPXQ,1.36,Glendale,AZ,B,50.0,33.50783,-112.21767
KQNA,1.13,Prescott Valley,AZ,D,1.0,34.62947,-112.31683
KRVZ,1.4,Springerville,AZ,C,1.0,34.13811,-109.27147
KSAZ,0.58,Marana,AZ,B,5.0,32.45314,-111.28511
KSUN,1.4,Phoenix,AZ,C,1.0,33.38978,-111.99847
KTAN,1.42,Sierra Vista,AZ,B,1.5,31.54647,-110.27536
KTAR,0.62,Phoenix,AZ,B,5.0,33.47894,-112.00236
KTBA,0.76,Tuba City,AZ,D,0.25,36.13167,-111.25042
KTKT,0.99,Tucson,AZ,B,10.0,32.25536,-111.00953
KTNN,0.66,Window Rock,AZ,B,50.0,35.895,-109.14203
KTUC,1.4,Tucson,AZ,C,1.0,32.27703,-110.98119
KTZR,1.45,Tucson,AZ,C,1.0,32.20119,-110.94731
