callsign,freq_mhz,city,state,class,erp_kw,lat,lon,facility_id
KAAI,98.500000,,,,0.86,39.049167,-108.251111,164273
KABA,90.300000,,,,4.9,29.101417,-96.455306,123270
KABD,107.700000,,,,51.0,45.453611,-98.802778,164222
KABR,107.500000,,,,10.0,34.416944,-107.501111,183865
KACE,98.300000,,,,2.1,36.936389,-116.849167,189484
KACG,100.300000,,,,0.14,37.708333,-117.234167,189485
KACP,103.100000,,,,25.0,36.284167,-116.049444,189474
KACW,91.300000,,,,0.225,46.695556,-123.771389,173182
KADQ-FM,98.300000,,,,1.2,41.352778,-110.908611,164152
KAEB,91.900000,,,,0.09,55.350278,-160.470556,199470
KAFZ,99.700000,,,,0.1,35.224722,-112.486389,190399
KAGO-FM,94.900000,,,,1.8,42.097222,-121.633056,198620
KAGP,89.100000,,,,0.8,32.040944,-101.8325,174318
KAHU,91.300000,,,,18.0,19.523611,-155.302222,173928
KAIB,89.500000,,,,50.0,35.614722,-119.471111,124884
KAIP,88.900000,,,,0.001,41.083056,-91.171667,122025
KAJK,96.300000,,,,1.5,40.443333,-120.643056,162465
KAKD,104.900000,,,,0.019,59.045194,-158.451972,201835
KAKI,88.100000,,,,1.7,58.301444,-134.440444,175915
KAKR,103.700000,,,,1.0,40.148889,-103.284444,198758
KALG,98.100000,,,,0.1,64.327778,-158.726667,178864
KALN,102.500000,,,,50.0,33.399167,-104.375,164178
KAMT,105.100000,,,,33.0,35.739722,-102.248889,183356
KANP,91.300000,,,,0.2,44.175,-111.429722,177234
KANQ,90.300000,,,,17.0,37.599722,-95.652778,174184
KANT,104.100000,,,,36.0,42.346278,-105.034417,164287
KANY,107.300000,,,,4.1,46.933333,-123.7325,166011
KARU,88.900000,,,,0.0,34.636111,-98.692222,124883
KAUD,90.500000,,,,0.45,39.176667,-91.794972,172407
KAVB,98.700000,,,,0.1,38.524056,-118.621667,164094
KAVE,88.500000,,,,0.4,43.740833,-122.447222,132574
KAVY,89.100000,,,,0.0,45.005,-116.133611,172886
KAWJ,94.500000,,,,0.48,37.419444,-119.744444,164118
KAWN,91.300000,,,,0.3,35.026667,-110.697222,122438
KAWP,88.900000,,,,0.015,34.124694,-114.210611,174119
KAWR,98.700000,,,,0.25,41.656667,-109.158889,171026
KAXA,103.700000,,,,6.0,30.176111,-99.383889,170976
