callsign,freq_mhz,city,state,class,erp_kw,lat,lon
K02LJ-D,57,Nondalton,AK,LPD,0.042,59.97375,-154.84911
K03FW-D,63,"Kenai, Etc",AK,LPT,0.0879,60.53222,-151.08333
K03GA-D,63,Elim,AK,LPD,0.043,64.61678,-162.25811
K03GL-D,63,"King Mountain, Etc.",AK,LPT,0.4,61.79392,-148.42414
K04JF-D,69,Nulato,AK,LPD,0.014,64.71878,-158.10528
K04JH-D,69,Homer,AK,LPT,0.303,59.45417,-151.67389
K04KP-D,69,Northway,AK,LPT,0.048,62.96778,-141.89222
K04KV-D,69,Unalaska,AK,LPT,0.049,53.878,-166.53911
K04LB-D,69,Pelican,AK,LPD,0.042,57.96211,-136.23264
K04LZ-D,69,Galena,AK,LPD,0.041,64.75853,-156.86386
K04MM-D,69,Hyder,AK,LPD,0.043,55.91581,-130.02531
K04MN-D,69,Wales,AK,LPD,0.053,65.61253,-168.09222
K04MR-D,69,Gustavus,AK,LPD,0.043,58.41931,-135.70756
K04MT-D,69,Newtok,AK,LPD,0.043,60.94058,-164.63036
K04RP-D,69,Delta Junction,AK,LPT,0.3,63.78792,-145.862
K06QP-D,85,Juneau,AK,LPD,0.215,58.29958,-134.41456
K07OL-D,177,Kipnuk,AK,LPD,0.013,59.93839,-164.04339
K07PF-D,177,Homer,AK,LPT,0.176,59.45417,-151.67389
K07PG-D,177,Seward,AK,LPT,0.1,60.10278,-149.43881
K07QD-D,177,Hooper Bay,AK,LPD,0.018,61.53139,-166.09733
K07QX-D,177,Golovin,AK,LPD,0.054,64.54258,-163.03672
K07RB-D,177,Tanana,AK,LPD,0.054,65.17281,-152.07972
K07RD-D,177,Savoonga,AK,LPD,0.056,63.69536,-170.47833
K07RJ-D,177,Holy Cross,AK,LPD,0.055,62.19872,-159.77042
K07RK-D,177,St. Marys,AK,LPD,0.018,62.05117,-163.17708
K07RU-D,177,Dot Lake,AK,LPT,0.055,63.65822,-144.05836
K07RY-D,177,Chignik,AK,LPD,0.043,56.30225,-158.41258
K07SS-D,177,Angoon,AK,LPD,0.053,57.50047,-134.58508
K07ST-D,177,Womens Bay,AK,LPT,0.055,57.72228,-152.52106
K07TH-D,177,Lime Village,AK,LPD,0.054,61.35542,-155.43839
K07TK-D,177,Marshall,AK,LPD,0.059,61.88064,-162.08819
K08HU-D,183,Aleknagik,AK,LPD,0.063,59.27897,-158.61886
K08KA-D,183,Girdwood,AK,LPT,0.3,60.95275,-149.11
K08KD-D,183,Alakanuk,AK,LPD,0.056,62.68336,-164.65131
K08KO-D,183,Cooper Landing,AK,LPD,0.055,60.48883,-149.73794
K08PN-D,183,"Homer, Etc.",AK,LPT,0.176,59.45417,-151.67389
K09AAD-D,189,Sitka,AK,LPT,0.57,57.05328,-135.35397
K09NH-D,189,Shungnak,AK,LPD,0.013,66.88969,-157.13606
K09NI-D,189,Mekoryuk,AK,LPD,0.013,60.38586,-166.18892
K09NK-D,189,Perryville,AK,LPD,0.013,55.91169,-159.14475
K09NO-D,189,Pilot Point,AK,LPD,0.013,57.56397,-157.57708
K09OT-D,189,Valdez,AK,LPD,0.444,61.13614,-146.33953
K09OV-D,189,Kotzebue,AK,LPD,0.304,66.90103,-162.59019
K09OW-D,189,Nome,AK,LPD,0.91,64.50342,-165.40053
K09PC-D,189,Grayling,AK,LPD,0.018,62.90233,-160.06739
K09PO-D,189,Chevak,AK,LPD,0.018,61.52861,-165.58567
K09QC-D,189,Mcgrath,AK,LPD,0.059,62.94992,-155.58844
K09QG-D,189,Chalkyitsik,AK,LPD,0.056,66.64994,-143.72761
K09QH-D,189,Kenai,AK,LPT,0.0789,60.53222,-151.08333
K09QK-D,189,Karluk,AK,LPD,0.054,57.564,-154.43481
